node_id,zone_id,x_coord,y_coord,meso_link_id,lane_no,is_boundary
3985,,-111.93915,33.4174559,180,1,
3986,,-111.939074,33.4174566,180,1,
3987,,-111.938998,33.4174573,180,1,
3988,,-111.938922,33.417458,180,1,
3989,,-111.9388461,33.4174587,180,1,
3990,,-111.9387701,33.4174594,180,1,
3991,,-111.9386941,33.4174601,180,1,
3992,,-111.9386181,33.4174608,180,1,
3993,,-111.9385421,33.4174615,180,1,
3994,,-111.9384661,33.4174622,180,1,
3995,,-111.9383902,33.4174629,180,1,
3996,,-111.9383142,33.4174636,180,1,
3997,,-111.9382382,33.4174643,180,1,
3998,,-111.9381622,33.4174647,180,1,
3999,,-111.9380862,33.4174652,180,1,
4000,,-111.9380102,33.4174658,180,1,
4001,,-111.9379342,33.4174664,180,1,
4002,,-111.9378582,33.417467,180,1,
4003,,-111.9377823,33.4174676,180,1,
4004,,-111.9377063,33.4174681,180,1,
4005,,-111.9376303,33.4174687,180,1,
4006,,-111.9375543,33.4174693,180,1,
4007,,-111.9374783,33.4174699,180,1,
4008,,-111.9374023,33.4174705,180,1,
4009,,-111.9373263,33.4174711,180,1,
4010,,-111.9372504,33.4174717,180,1,
4011,,-111.9371744,33.4174723,180,1,
4012,,-111.9370984,33.4174729,180,1,
4013,,-111.9370224,33.4174735,180,1,
4014,,-111.9369464,33.4174741,180,1,
4015,,-111.9368704,33.4174746,180,1,
4016,,-111.9367945,33.4174756,180,1,
4017,,-111.9367185,33.4174765,180,1,
4019,,-111.9306544,33.4152082,181,1,
4020,,-111.9306607,33.4151448,181,1,
4021,,-111.9306651,33.4150812,181,1,
4022,,-111.9306676,33.4150176,181,1,
4023,,-111.9306701,33.414954,181,1,
4024,,-111.9306726,33.4148903,181,1,
4025,,-111.930683,33.4152751,181,2,
4026,,-111.9306919,33.4152115,181,2,
4027,,-111.9306982,33.4151476,181,2,
4028,,-111.9307027,33.4150836,181,2,
4029,,-111.9307052,33.4150195,181,2,
4030,,-111.9307077,33.4149554,181,2,
4031,,-111.9307102,33.4148914,181,2,
4032,,-111.9263448,33.4243781,182,1,
4033,,-111.9263455,33.4243176,182,1,
